HDI_Rank,Country,HDI_Value,Medals,GII_Value,GII_Rank,Female_Labour_Force,Male_Labour_Force
106,Saint Lucia,0.715,0,0.381,91,63.2,73.2
73,Sri Lanka,0.782,3,0.383,92,30.9,68.5
165,Rwanda,0.534,0,0.388,93,82.5,82.2
87,Brazil,0.754,182,0.39,94,49.1,68.2
89,Saint Vincent and the Grenadines,0.751,0,0.39,94,52.9,74.1
61,Panama,0.805,3,0.392,96,50.4,72.6
109,South Africa,0.713,106,0.405,97,46.2,59.9
127,Bhutan,0.666,0,0.415,98,51.6,67.4
118,Bolivia (Plurinational State of),0.692,0,0.418,99,68.3,83.8
111,Samoa,0.707,0,0.418,99,30.7,54.2
116,Philippines,0.699,15,0.419,101,43.8,68.3
88,Colombia,0.752,53,0.424,102,52.2,78
126,Nicaragua,0.667,0,0.424,102,46.8,81.3
123,Morocco,0.683,34,0.425,104,22,66
99,Suriname,0.73,3,0.427,105,43.4,65.1
80,Dominican Republic,0.767,17,0.429,106,49.6,75.2
137,Honduras,0.621,0,0.431,107,42.3,78.9
112,Lebanon,0.706,5,0.432,108,20.8,64.3
97,Egypt,0.731,62,0.443,109,15.4,67.1
114,Indonesia,0.705,40,0.444,110,53.7,81.7
139,Namibia,0.615,5,0.445,111,54.5,62.2
105,Paraguay,0.717,1,0.445,111,59.6,84.2
143,Nepal,0.602,0,0.452,113,78.7,80.8
108,Guyana,0.714,1,0.454,114,40.3,64.1
76,Iran (Islamic Republic of),0.774,101,0.459,115,14.4,68.1
146,Cambodia,0.593,0,0.461,116,74,85.9
117,Botswana,0.693,4,0.468,117,56.3,65.1
102,Jordan,0.72,6,0.471,118,13.5,62.3
150,Syrian Arab Republic,0.577,4,0.477,119,15.7,70.8
140,Lao People's Democratic Republic,0.607,0,0.478,120,74.8,78.1
135,Guatemala,0.627,2,0.481,121,37.4,80.3
132,India,0.633,58,0.49,122,19.2,70.1
120,Venezuela (Bolivarian Republic of),0.691,34,0.492,123,34.3,67.8
138,Sao Tome and Principe,0.618,0,0.494,124,37.1,69.9
149,Myanmar,0.585,0,0.498,125,41,70
91,Algeria,0.745,21,0.499,126,15.7,64.5
187,Burundi,0.426,4,0.505,127,79,77.4
152,Kenya,0.575,128,0.506,128,71,75.6
175,Ethiopia,0.498,79,0.52,129,72.3,84.7
133,Ghana,0.632,6,0.529,130,64.5,72.2
129,Bangladesh,0.661,0,0.268,131,34.9,78.8
170,Senegal,0.511,1,0.53,131,33.5,56.7
166,Uganda,0.525,15,0.53,131,64.2,71.3
146,Zimbabwe,0.593,8,0.532,134,79.3,88.9
161,Pakistan,0.544,12,0.534,135,20.7,78.1
148,Angola,0.586,0,0.537,136,74,79.1
185,Mozambique,0.446,2,0.537,136,77.7,78.9
144,Eswatini (Kingdom of),0.597,0,0.54,138,45.6,53.6
154,Zambia,0.565,5,0.54,138,69.2,77.8
112,Gabon,0.706,1,0.541,140,39.1,57
172,Sudan,0.508,1,0.553,141,28.7,67.8
169,Malawi,0.512,0,0.554,142,71.6,80
173,Madagascar,0.501,0,0.556,143,81.5,87.6
168,Lesotho,0.514,0,0.557,144,56.1,71.3
121,Iraq,0.686,2,0.558,145,11.1,71.8
160,Tanzania (United Republic of),0.549,2,0.56,146,79.5,87.1
153,Congo,0.571,0,0.564,147,65.1,67.6
151,Cameroon,0.576,6,0.565,148,70.2,80.7
162,Togo,0.539,1,0.58,149,55.5,59.4
191,South Sudan,0.385,0,0.587,150,70.4,73.6
179,Congo (Democratic Republic of the),0.479,0,0.601,151,61.2,69.1
174,Gambia,0.5,0,0.611,153,48.9,66.3
189,Niger,0.4,3,0.611,153,61.7,84.3
159,Côte d'Ivoire,0.55,0,0.613,155,45.9,64.9
186,Mali,0.428,0,0.613,155,57.7,79.7
184,Burkina Faso,0.449,1,0.621,157,57.2,72.7
182,Guinea,0.465,0,0.621,157,62.1,62.2
177,Guinea-Bissau,0.483,0,0.627,159,63.9,78.4
91,Tonga,0.745,0,0.631,160,37.3,55.3
158,Mauritania,0.556,0,0.632,161,27.4,62.2
181,Sierra Leone,0.477,0,0.633,162,56.1,55.9
163,Haiti,0.535,3,0.635,163,60.7,68.9
178,Liberia,0.481,0,0.648,164,69.8,79.7
190,Chad,0.394,0,0.652,165,46.9,69.9
188,Central African Republic,0.404,0,0.672,166,63.3,79.5
180,Afghanistan,0.478,3,0.678,167,14.8,66.5
163,Nigeria,0.535,35,0.68,168,47.9,59.6
156,Papua New Guinea,0.558,0,0.725,169,46.3,48.1
183,Yemen,0.455,0,0.82,170,6,67.6
HDI_Rank,Country,HDI_Value,Medals,GII_Value,GII_Rank,Female_Labour_Force,Male_Labour_Force
